Epoch 98 | Train Loss: 0.24032215 | Test Loss: 0.21265303 | Train Error: -0.50015560 | Test Error: -0.87399441 | Train Error_abs: 4.12260330 | Test Error_abs: 2.80338850
Epoch 99 | Train Loss: 0.23982769 | Test Loss: 0.21202552 | Train Error: -0.94527645 | Test Error: -0.87156491 | Train Error_abs: 3.65991605 | Test Error_abs: 2.83036903
Epoch 100 | Train Loss: 0.23911432 | Test Loss: 0.21104405 | Train Error: -1.33934931 | Test Error: -0.86332067 | Train Error_abs: 3.96888950 | Test Error_abs: 2.86922451
Epoch 101 | Train Loss: 0.23823132 | Test Loss: 0.21040741 | Train Error: -0.94914662 | Test Error: -0.85678217 | Train Error_abs: 3.71942479 | Test Error_abs: 2.87883065
Epoch 102 | Train Loss: 0.23779119 | Test Loss: 0.20995092 | Train Error: -0.92672393 | Test Error: -0.85228696 | Train Error_abs: 3.74594060 | Test Error_abs: 2.88790802
Epoch 103 | Train Loss: 0.23671329 | Test Loss: 0.20907604 | Train Error: -0.75720281 | Test Error: -0.84532982 | Train Error_abs: 4.58099200 | Test Error_abs: 2.90012709
Epoch 104 | Train Loss: 0.23596474 | Test Loss: 0.20879416 | Train Error: -1.62512863 | Test Error: -0.84756122 | Train Error_abs: 4.32214797 | Test Error_abs: 2.90897111
Epoch 105 | Train Loss: 0.23531571 | Test Loss: 0.20793035 | Train Error: -0.65976836 | Test Error: -0.84061634 | Train Error_abs: 3.95242638 | Test Error_abs: 2.91008261
Epoch 106 | Train Loss: 0.23446709 | Test Loss: 0.20686019 | Train Error: -0.73696973 | Test Error: -0.83803608 | Train Error_abs: 4.15414902 | Test Error_abs: 2.92421870
Epoch 107 | Train Loss: 0.23376096 | Test Loss: 0.20591206 | Train Error: -2.09025520 | Test Error: -0.84147717 | Train Error_abs: 4.86937853 | Test Error_abs: 2.92585091
Epoch 108 | Train Loss: 0.23303165 | Test Loss: 0.20517737 | Train Error: -0.54829091 | Test Error: -0.84689574 | Train Error_abs: 4.09406341 | Test Error_abs: 2.89241576
Epoch 109 | Train Loss: 0.23221516 | Test Loss: 0.20389980 | Train Error: -0.90225363 | Test Error: -0.85057702 | Train Error_abs: 3.79739846 | Test Error_abs: 2.93621119
Epoch 110 | Train Loss: 0.23136340 | Test Loss: 0.20300270 | Train Error: -1.19772850 | Test Error: -0.85814796 | Train Error_abs: 4.07516634 | Test Error_abs: 2.91393557
Epoch 111 | Train Loss: 0.23056550 | Test Loss: 0.20223923 | Train Error: -1.18511993 | Test Error: -0.86571787 | Train Error_abs: 4.17462758 | Test Error_abs: 2.90872817
