Epoch 112 | Train Loss: 0.01859733 | Test Loss: 0.01695477 | Train Error: 0.63879842 | Test Error: 0.48994729 | Train Error_abs: 0.75338057 | Test Error_abs: 0.62068168
Epoch 113 | Train Loss: 0.01857703 | Test Loss: 0.01653404 | Train Error: 0.63863447 | Test Error: 0.52729038 | Train Error_abs: 0.75339661 | Test Error_abs: 0.64550201
Epoch 114 | Train Loss: 0.01849132 | Test Loss: 0.01629006 | Train Error: 0.63625187 | Test Error: 0.52100672 | Train Error_abs: 0.75055566 | Test Error_abs: 0.63706747
Epoch 115 | Train Loss: 0.01847144 | Test Loss: 0.01621028 | Train Error: 0.63517902 | Test Error: 0.54440333 | Train Error_abs: 0.74941731 | Test Error_abs: 0.65540340
Epoch 116 | Train Loss: 0.01840645 | Test Loss: 0.01653434 | Train Error: 0.63324517 | Test Error: 0.52664546 | Train Error_abs: 0.74732788 | Test Error_abs: 0.64477512
Epoch 117 | Train Loss: 0.01845371 | Test Loss: 0.01732626 | Train Error: 0.63883268 | Test Error: 0.51206853 | Train Error_abs: 0.75293683 | Test Error_abs: 0.63537792
Epoch 118 | Train Loss: 0.01847299 | Test Loss: 0.01635162 | Train Error: 0.63959153 | Test Error: 0.58084108 | Train Error_abs: 0.75354320 | Test Error_abs: 0.68493964
Epoch 119 | Train Loss: 0.01839449 | Test Loss: 0.01650735 | Train Error: 0.63134608 | Test Error: 0.53206341 | Train Error_abs: 0.74497203 | Test Error_abs: 0.64760579
Epoch 120 | Train Loss: 0.01841393 | Test Loss: 0.01700502 | Train Error: 0.63456847 | Test Error: 0.49142064 | Train Error_abs: 0.74844601 | Test Error_abs: 0.61885957
Epoch 121 | Train Loss: 0.01829017 | Test Loss: 0.01682851 | Train Error: 0.63388863 | Test Error: 0.49645727 | Train Error_abs: 0.74759060 | Test Error_abs: 0.61502518
Epoch 122 | Train Loss: 0.01831098 | Test Loss: 0.01592852 | Train Error: 0.63296121 | Test Error: 0.54393791 | Train Error_abs: 0.74652082 | Test Error_abs: 0.65309856
Epoch 123 | Train Loss: 0.01828986 | Test Loss: 0.01623523 | Train Error: 0.63468644 | Test Error: 0.49704318 | Train Error_abs: 0.74781229 | Test Error_abs: 0.61861607
Epoch 124 | Train Loss: 0.01828920 | Test Loss: 0.01621825 | Train Error: 0.63041585 | Test Error: 0.51153872 | Train Error_abs: 0.74367034 | Test Error_abs: 0.62727673
Epoch 125 | Train Loss: 0.01826061 | Test Loss: 0.01632611 | Train Error: 0.63555747 | Test Error: 0.54788380 | Train Error_abs: 0.74844749 | Test Error_abs: 0.65732717
Epoch 126 | Train Loss: 0.01816652 | Test Loss: 0.01633929 | Train Error: 0.63193665 | Test Error: 0.52024526 | Train Error_abs: 0.74512527 | Test Error_abs: 0.63366359
Epoch 127 | Train Loss: 0.01833130 | Test Loss: 0.01596896 | Train Error: 0.63944924 | Test Error: 0.53944342 | Train Error_abs: 0.75264314 | Test Error_abs: 0.64594256
Epoch 128 | Train Loss: 0.01820415 | Test Loss: 0.01654702 | Train Error: 0.62749819 | Test Error: 0.48782417 | Train Error_abs: 0.74074282 | Test Error_abs: 0.61756675
Epoch 129 | Train Loss: 0.01820086 | Test Loss: 0.01595858 | Train Error: 0.63477739 | Test Error: 0.52935549 | Train Error_abs: 0.74783751 | Test Error_abs: 0.64127870
Epoch 130 | Train Loss: 0.01811690 | Test Loss: 0.01580621 | Train Error: 0.63001488 | Test Error: 0.53736075 | Train Error_abs: 0.74262944 | Test Error_abs: 0.64675147
Epoch 131 | Train Loss: 0.01815893 | Test Loss: 0.01606891 | Train Error: 0.63492577 | Test Error: 0.50382799 | Train Error_abs: 0.74759395 | Test Error_abs: 0.62297245
Epoch 132 | Train Loss: 0.01810794 | Test Loss: 0.01619109 | Train Error: 0.63017884 | Test Error: 0.49375635 | Train Error_abs: 0.74299934 | Test Error_abs: 0.61706416
Epoch 133 | Train Loss: 0.01806304 | Test Loss: 0.01605871 | Train Error: 0.62912480 | Test Error: 0.50338080 | Train Error_abs: 0.74160882 | Test Error_abs: 0.62243306
Epoch 134 | Train Loss: 0.01797631 | Test Loss: 0.01559605 | Train Error: 0.63069941 | Test Error: 0.53367074 | Train Error_abs: 0.74261401 | Test Error_abs: 0.64421531
Epoch 135 | Train Loss: 0.01798833 | Test Loss: 0.01587857 | Train Error: 0.62926752 | Test Error: 0.53394393 | Train Error_abs: 0.74164956 | Test Error_abs: 0.64239650
Epoch 136 | Train Loss: 0.01798457 | Test Loss: 0.01557705 | Train Error: 0.62605856 | Test Error: 0.54457089 | Train Error_abs: 0.73843089 | Test Error_abs: 0.65691759
Epoch 137 | Train Loss: 0.01788676 | Test Loss: 0.01583940 | Train Error: 0.62331305 | Test Error: 0.50790386 | Train Error_abs: 0.73545806 | Test Error_abs: 0.62186519
Epoch 138 | Train Loss: 0.01791122 | Test Loss: 0.01579308 | Train Error: 0.63377024 | Test Error: 0.51436588 | Train Error_abs: 0.74571145 | Test Error_abs: 0.62995090
Epoch 139 | Train Loss: 0.01794730 | Test Loss: 0.01581555 | Train Error: 0.62893371 | Test Error: 0.49885585 | Train Error_abs: 0.74098593 | Test Error_abs: 0.61425462
Epoch 140 | Train Loss: 0.01779889 | Test Loss: 0.01589479 | Train Error: 0.62850456 | Test Error: 0.50019806 | Train Error_abs: 0.74015155 | Test Error_abs: 0.61908830
Epoch 141 | Train Loss: 0.01793181 | Test Loss: 0.01608665 | Train Error: 0.63419909 | Test Error: 0.57281666 | Train Error_abs: 0.74621407 | Test Error_abs: 0.68229074
Epoch 142 | Train Loss: 0.01790586 | Test Loss: 0.01553037 | Train Error: 0.62953904 | Test Error: 0.55462734 | Train Error_abs: 0.74128092 | Test Error_abs: 0.65918086
Epoch 143 | Train Loss: 0.01787054 | Test Loss: 0.01580539 | Train Error: 0.62961405 | Test Error: 0.55443680 | Train Error_abs: 0.74115670 | Test Error_abs: 0.65876895
Epoch 144 | Train Loss: 0.01785482 | Test Loss: 0.01530760 | Train Error: 0.62944909 | Test Error: 0.55584008 | Train Error_abs: 0.74152217 | Test Error_abs: 0.65858854
Epoch 145 | Train Loss: 0.01783663 | Test Loss: 0.01561596 | Train Error: 0.62915694 | Test Error: 0.50538629 | Train Error_abs: 0.74111074 | Test Error_abs: 0.62658733
Epoch 146 | Train Loss: 0.01774071 | Test Loss: 0.01551881 | Train Error: 0.62560371 | Test Error: 0.50782152 | Train Error_abs: 0.73697166 | Test Error_abs: 0.62308076
Epoch 147 | Train Loss: 0.01781034 | Test Loss: 0.01539988 | Train Error: 0.62833353 | Test Error: 0.54533617 | Train Error_abs: 0.74011643 | Test Error_abs: 0.65307829
Epoch 148 | Train Loss: 0.01764409 | Test Loss: 0.01532257 | Train Error: 0.62782950 | Test Error: 0.52743542 | Train Error_abs: 0.73873331 | Test Error_abs: 0.63667509
Epoch 149 | Train Loss: 0.01780044 | Test Loss: 0.01550445 | Train Error: 0.62741315 | Test Error: 0.52161248 | Train Error_abs: 0.73907759 | Test Error_abs: 0.63115888
Epoch 150 | Train Loss: 0.01778245 | Test Loss: 0.01577349 | Train Error: 0.62370679 | Test Error: 0.48947323 | Train Error_abs: 0.73525139 | Test Error_abs: 0.61676388
