Epoch 119 | Train Loss: 0.03547855 | Test Loss: 0.02863752 | Train Error: -0.35247570 | Test Error: -19.17915372 | Train Error_abs: 8.52132986 | Test Error_abs: 27.10384262
Epoch 120 | Train Loss: 0.03519175 | Test Loss: 0.02840851 | Train Error: -0.34479081 | Test Error: -19.18912250 | Train Error_abs: 8.36944611 | Test Error_abs: 27.04309635
Epoch 121 | Train Loss: 0.03487571 | Test Loss: 0.02827530 | Train Error: -0.39053907 | Test Error: -19.18356333 | Train Error_abs: 8.63216480 | Test Error_abs: 26.94326593
Epoch 122 | Train Loss: 0.03471289 | Test Loss: 0.02807927 | Train Error: -0.10648932 | Test Error: -19.11880498 | Train Error_abs: 8.64432927 | Test Error_abs: 26.90541373
Epoch 123 | Train Loss: 0.03447911 | Test Loss: 0.02786474 | Train Error: -0.41614035 | Test Error: -19.29905096 | Train Error_abs: 8.18168324 | Test Error_abs: 27.08302801
Epoch 124 | Train Loss: 0.03433681 | Test Loss: 0.02764601 | Train Error: -0.11478415 | Test Error: -19.13212119 | Train Error_abs: 8.38108095 | Test Error_abs: 26.87650454
Epoch 125 | Train Loss: 0.03402833 | Test Loss: 0.02748961 | Train Error: -0.09155358 | Test Error: -19.23521058 | Train Error_abs: 8.40229080 | Test Error_abs: 26.92329147
Epoch 126 | Train Loss: 0.03391737 | Test Loss: 0.02728225 | Train Error: -0.15354033 | Test Error: -19.31874633 | Train Error_abs: 8.24963374 | Test Error_abs: 26.98173839
Epoch 127 | Train Loss: 0.03378911 | Test Loss: 0.02710947 | Train Error: -0.54354404 | Test Error: -19.27254191 | Train Error_abs: 8.35545962 | Test Error_abs: 26.89925560
Epoch 128 | Train Loss: 0.03352300 | Test Loss: 0.02695882 | Train Error: -0.08151614 | Test Error: -19.25910099 | Train Error_abs: 8.50029974 | Test Error_abs: 26.78550696
Epoch 129 | Train Loss: 0.03331753 | Test Loss: 0.02677675 | Train Error: -0.16928778 | Test Error: -19.22834130 | Train Error_abs: 8.41508917 | Test Error_abs: 26.82780512
Epoch 130 | Train Loss: 0.03313950 | Test Loss: 0.02661353 | Train Error: -0.44040388 | Test Error: -19.16788183 | Train Error_abs: 8.31754547 | Test Error_abs: 26.68654199
Epoch 131 | Train Loss: 0.03296091 | Test Loss: 0.02644722 | Train Error: -0.18405975 | Test Error: -19.38303245 | Train Error_abs: 8.44066226 | Test Error_abs: 26.87257748
Epoch 132 | Train Loss: 0.03274438 | Test Loss: 0.02626799 | Train Error: -0.23688035 | Test Error: -19.52579380 | Train Error_abs: 7.92677747 | Test Error_abs: 26.98813549
Epoch 133 | Train Loss: 0.03258960 | Test Loss: 0.02616111 | Train Error: -0.24069567 | Test Error: -19.65044760 | Train Error_abs: 8.08717523 | Test Error_abs: 27.06753879
Epoch 134 | Train Loss: 0.03236978 | Test Loss: 0.02600666 | Train Error: -0.24746541 | Test Error: -19.16187321 | Train Error_abs: 8.84832102 | Test Error_abs: 26.52746305
Epoch 135 | Train Loss: 0.03227249 | Test Loss: 0.02584635 | Train Error: -0.47295591 | Test Error: -19.46182619 | Train Error_abs: 8.08451897 | Test Error_abs: 26.73898559
Epoch 136 | Train Loss: 0.03211574 | Test Loss: 0.02570690 | Train Error: -0.33087109 | Test Error: -19.48958511 | Train Error_abs: 7.98085263 | Test Error_abs: 26.72753815
Epoch 137 | Train Loss: 0.03192047 | Test Loss: 0.02553234 | Train Error: -0.16626728 | Test Error: -19.39026115 | Train Error_abs: 8.17055120 | Test Error_abs: 26.60697954
Epoch 138 | Train Loss: 0.03173137 | Test Loss: 0.02535643 | Train Error: -0.37542140 | Test Error: -19.50571183 | Train Error_abs: 8.00273956 | Test Error_abs: 26.76112415
Epoch 139 | Train Loss: 0.03161177 | Test Loss: 0.02523859 | Train Error: -0.29924692 | Test Error: -19.55298007 | Train Error_abs: 8.02929949 | Test Error_abs: 26.76948738
Epoch 140 | Train Loss: 0.03138059 | Test Loss: 0.02512030 | Train Error: -0.24728660 | Test Error: -19.29780971 | Train Error_abs: 8.01654860 | Test Error_abs: 26.46358078
Epoch 141 | Train Loss: 0.03128444 | Test Loss: 0.02501844 | Train Error: -0.18382150 | Test Error: -19.55447165 | Train Error_abs: 7.98543177 | Test Error_abs: 26.73440188
Epoch 142 | Train Loss: 0.03111944 | Test Loss: 0.02488906 | Train Error: -0.23242007 | Test Error: -19.63055887 | Train Error_abs: 7.84806383 | Test Error_abs: 26.71918091
Epoch 143 | Train Loss: 0.03097625 | Test Loss: 0.02473724 | Train Error: -0.26262022 | Test Error: -19.67344849 | Train Error_abs: 7.91164352 | Test Error_abs: 26.76417635
Epoch 144 | Train Loss: 0.03088780 | Test Loss: 0.02459977 | Train Error: 0.11812288 | Test Error: -19.63376185 | Train Error_abs: 8.15752563 | Test Error_abs: 26.64002927
Epoch 145 | Train Loss: 0.03067003 | Test Loss: 0.02448093 | Train Error: -0.15450824 | Test Error: -19.57866016 | Train Error_abs: 7.69875749 | Test Error_abs: 26.56155169
Epoch 146 | Train Loss: 0.03055526 | Test Loss: 0.02434189 | Train Error: -0.26380579 | Test Error: -19.60350492 | Train Error_abs: 7.71944784 | Test Error_abs: 26.57150911
Epoch 147 | Train Loss: 0.03038096 | Test Loss: 0.02420557 | Train Error: -0.23332352 | Test Error: -19.49346413 | Train Error_abs: 8.03603838 | Test Error_abs: 26.44499159
Epoch 148 | Train Loss: 0.03024592 | Test Loss: 0.02411589 | Train Error: 0.18914044 | Test Error: -19.52513220 | Train Error_abs: 7.96291471 | Test Error_abs: 26.41205533
Epoch 149 | Train Loss: 0.03014511 | Test Loss: 0.02406758 | Train Error: 0.09603881 | Test Error: -19.39736183 | Train Error_abs: 7.92173962 | Test Error_abs: 26.24820266
Epoch 150 | Train Loss: 0.02997555 | Test Loss: 0.02391229 | Train Error: -0.50032232 | Test Error: -19.51392398 | Train Error_abs: 8.04428489 | Test Error_abs: 26.34486291
